Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Lincoln's Sense of Humor,Richard Carwardine,SIU Press,2017-10-23,"""Abraham Lincoln was the first president consistently to make storytelling and laughter tools of office. This book shows how his uses of humor evolved to fit changing personal circumstances, and explores its versatility, range of expressions, and multiple sources""--",Biography & Autobiography,185,N/A,0,en
Engaging Humor,Elliott Oring,University of Illinois Press,2010-10-01,"Exploring the structure, motives, and meanings of humor in everyday life In Engaging Humor, Elliott Oring asks essential questions concerning humorous expression in contemporary society, examining how humor works, why it is employed, and what its messages might be. This provocative book is filled with examples of jokes and riddles that reveal humor to be a meaningful--even significant--form of expression. Oring scrutinizes classic Jewish jokes, frontier humor, racist cartoons, blonde jokes, and Internet humor. He provides alternate ways of thinking about humorous expressions by examining their contexts--not just their contents. He also shows how the incongruity and absurdity essential to the production of laughter can serve serious communicative ends. Engaging Humor examines the thoughts that underlie jokes, the question of racist motivation in ethnic humor, and the use of humor as a commentary on social interaction. The book also explores the relationship between humor and sentimentality and the role of humor in forging national identity. Engaging Humor demonstrates that when analyzed contextually and comparatively, humorous expressions emerge as communications that are startling, intriguing, and profound.",Humor,226,N/A,0,en
Creativity and Humor,,Academic Press,2018-09-28,"Creativity and Humor provides an overview of the intersection of how humor influences creativity and how creativity can affect humor. The book's chapters speak to the wide reach of creativity and humor with different topics, such as play, culture, work, education, therapy, and social justice covered. As creativity and humor are individual traits and abilities that have each been studied in psychology, this book presents the latest information. - Explains how, and why, humor enhances creativity - Explores the thought processes behind producing humor and creativity - Examines how childhood play is the basis for both creativity and humor - Discusses cross-cultural differences in humor and creativity - Reviews creativity and humor in politics, teaching and relationships",Psychology,266,N/A,0,en
An Introduction to the Psychology of Humor,Janet M. Gibson,Routledge,2019-01-31,"An Introduction to the Psychology of Humor provides a comprehensive and accessible overview of psychologists’ research on humor. Drawing on research from a variety of psychological perspectives, from cognitive and biological to social and developmental, the book explores factors that affect our detection, comprehension, liking, and use of humor. Throughout the book, theories and paradigms of humor are explored, with each chapter dedicated to a distinct field of psychological research. Covering topics including humor development in children and older adults, humor’s effectiveness in advertisements, cross-cultural psychology and humor’s functions in the workplace, the book addresses the challenges psychologists face in defining and studying humor despite it being a universal and often daily experience. Featuring a wealth of student-friendly features, including learning objectives and classroom activities, An Introduction to the Psychology of Humor is an essential read for all students of humor.",Psychology,273,N/A,0,en
Isn’t that Clever,Steven Gimbel,Taylor & Francis,2017-06-26,Isn’t That Clever provides a new account of the nature of humor – the cleverness account – according to which humor is intentional conspicuous acts of playful cleverness. This volume asks whether there are limits to what can be said in dealing with a heckler and how do we determine whether one comedian has stolen jokes from another.,Art,208,N/A,0,en
The Game of Humor,Charles R. Gruner,Routledge,2017-07-05,"Humor, wit, and laughter surround each person. From everyday quips to the carefully contrived comedy of literature, newspapers, and television we experience humor in many forms, yet the impetus for our laughter is far from innocuous. Misfortune, stupidity, and moral or cultural defects, however faintly revealed in others and ourselves, seem to make us laugh. Although discomforting, such negative terms as superiority, aggression, hostility, ridicule, or degradation can be applied to instances of humor. According to scholars, Thomas Hobbes's ""superiority theory""?that humor arises from mischances, infirmities, and indecencies, where there is no wit at all?applies to most humor. With the exception of good-natured play, Charles R. Gruner claims that humor is rarely as innocent as it first appears.Gruner's proposed superiority theory of humor is all-encompassing. In The Game of Humor, he expands the scope of Hobbes's theory to include and explore the contest aspect of ""good-natured"" play. As such, the author believes all instances of humor can be examined as games, in terms of competition and keeping score?winners and losers. Gruner draws on a broad spectrum of thought-provoking examples. Holocaust jokes, sexual humor, the racialist dialogue of such comic characters as Stepin Fetchit and Archie Bunker, simple puns, and many of the author's own encounters with everyday humor. Gruner challenges the reader to offer a single example of humor that cannot be ""de-humorized"" by its agonistic nature.The Game of Humor makes intriguing and enjoyable reading for people interested in humor and the aspects of human motivation. This book will also be valuable to professionals in communication and information studies, sociologists, literary critics and linguists, and psychologists concerned with the conflicts and tensions of everyday life.",Social Science,212,N/A,0,en
The Sarah Book,Scott McClanahan,N/A,2017,McClanahan is the only real successor we have to Breece D'J Pancake. Old-fashioned storytelling from modern Appalachia.,Fiction,0,N/A,0,en
Scandinavian Humor & Other Myths,John Louis Anderson,Harper Perennial,1989,"In this hilarious bestseller, John Louis Anderson shows with jokes, quizzes, anecdotes, stories and illustrations that there is a lighter side to being stoic, tall, relentlessly practical, and Lutheran. Illustrated.",Humor,228,N/A,0,en
The Senses of Humor,Daniel Wickberg,Cornell University Press,2015-06-18,"Why do modern Americans believe in something called a sense of humor and how did they come to that belief? Daniel Wickberg traces the cultural history of the concept from its British origins as a way to explore new conceptions of the self and social order in modern America. More than simply the history of an idea, Wickberg's study provides new insights into a peculiarly modern cultural sensibility.The expression ""sense of humor"" was first coined in the 1840s and the idea that such a sense was a personality trait to be valued developed only in the 1870s. What is the relationship between Medieval humoral medicine and this distinctively modern idea of the sense of humor? What has it meant in the past 125 years to declare that someone lacks a sense of humor? How is the joke, as a twentieth-century quasi-literary form, different from the traditional folktale? Wickberg addresses these questions, among others, using the history of ideas to throw new light on the way contemporary Americans think and speak.The context of Wickberg's analysis is Anglo-American; the specifically British meanings of humor and laughter from the sixteenth century forward provide the framework for understanding American cultural values in the nineteenth and twentieth centuries. The genealogy of the sense of humor is, like the study of keywords, an avenue into a significant aspect of the cultural history of modernity. Drawing on a wide range of sources and disciplinary perspectives, Wickberg's analysis challenges many of the prevailing views of modern American culture and suggests a new model for cultural historians.",History,341,N/A,0,en
Humor 101,"Mitch Earleywine, PhD",Springer Publishing Company,2010-12-15,"""Humor is complex, and the author, Mitch Earleywine, does an exceptional job of covering the big bases of humor from a research perspective in a small space with a readable content. When I first picked up this book and began reading it, I was looking for depth. What I found was an overview and at the same time a very exciting way to provide an entrÈe into psychology-a vehicle for students to grab hold of topics central to psychology but studiedand researched in terms of modern themes, and particularly humor."" --PsycCRITIQUES ""I've just finished reading Humor 101 with great interest and admiration. The book combines psychological research and practicality beautifully and humorously."" -- Bob Mankoff Cartoon Editor, The New Yorker Magazine ""In lucid, cheerful prose, Earleywine offers up the impossible: an explanation of humor that is as thoughtful, fascinating, and entertaining as humor itself."" Elisa Albert Author of ,The Book of Dahliaand How This Night is Different ""Dr. Earleywine's witty insight on this topic will make you funny, happy, and wise. Mitch has that rare ability to clearly explain something that is mysterious as it is magical: the power of laughter. Read this book and laugh while you learn."" Brett Siddell Sirius/XM Satellite Radio Personality ""Dr. Earleywine has written the perfect guide to understanding humor. No one else has the unique combination of witty stage time, outstanding teaching expertise, and impressive scientific background. You'll love this book."" Derrick Jackson Winner, Ultimate Laff-Down What makes something funny? How does humor impact health and psychological well-being? How can you incorporate humor into everyday life? A concise, reader-friendly introduction to an important but often underappreciated topic in modern psychology, Humor 101 explains the role of comedy, jokes, and wit in the sciences and discusses why they are so important to understand. Psychology professor Dr. Mitch Earleywine draws from his personal experiences in stand-up comedy to focus on how humor can regulate emotion, reduce anxiety and defuse tense situations, expose pretensions, build personal relationships, and much more. He irreverently debunks the pseudoscience on the topic of humor and leaves readers not only funnier, but better informed. The Psych 101 Series Short, reader-friendly introductions to cutting-edge topics in psychology. With key concepts, controversial topics, and fascinating accounts of up-to-the-minute research, The Psych 101 Series is a valuable resource for all students of psychology and anyone interested in the field.",Psychology,266,N/A,0,en
"Secret Book of CIA Humor, The",Ed Mickolus,"Pelican Publishing Company, Inc.",2011-09-02,"This compilation of espionage humor is based on the author's thirty-three years with the CIA as an analyst, operations officer, and manager. Practical jokes, comical essays, poems, bloopers from performance-appraisal reports, and more are all included.",Humor,244,N/A,0,en
Writing Memoir (Lit Starts),San Francisco San Francisco Writers' Grotto,Abrams Noterie,2020-02-11,"A fill-in book from the San Francisco Writers' Grotto, authors of the bestselling 642 Things series Focus on a single aspect of the craft of writing with help from the San Francisco Writers' Grotto. Writing Memoir starts with a foreword by New York Times bestselling author Julie Lythcott-Haims, who offers pointers for crafting a compelling narrative from your own experiences. The rest of the book consists of prompts and space to write, providing opportunities to reframe aspects of your life in thoughtful and interesting ways. Among other ideas, you'll be asked to write: a virtual tour of your hometown a description of what's in your purse or wallet right now a list of all the lies you've told an account of a historical event from your own lifetime, in a way that reveals something significant about yourself Perfectly sized to take to a café, on vacation, or on your morning commute, this book is designed for practicing your creative writing a little bit at a time. Special Features Paperback with textured cover stock, flaps, and a lay-flat binding Advice from a published writer, followed by fill-in prompts and space to write Part of the Lit Starts series, a collection of single-subject writing prompt books by the San Francisco Writers' Grotto Check out the other books in this series: Writing Action, Writing Character, Writing Dialogue, Writing Humor, and Writing Sci-fi and Fantasy.",,96,N/A,0,en
Illustrating Asia,John A. Lent,University of Hawaii Press,2001-11-30,"Illustrations used for story-telling and mirth-making have enlivened Asian walls, scrolls, books, public and private places, and artifacts for millennia. Often playful and humorous, Asian pictorial stories lent conspicuous elements to contemporary comic art, particularly with their use of narrative nuance, humor, satire, and dialogue. Illustrating Asia is a fascinating book on a subject that is of wide and topical interest. All of the articles consider cartoon and/or comic art in the historical and social setting of seven South, Southeast, and East Asian countries: India, Taiwan, Malaysia, Indonesia, Sri Lanka, China, and Japan. The contributors treat comic and narrative art—including comic books, comic strips, picture books, and humor and fan magazines—in both historical and socio-cultural perspectives, as well as portrayals of ancient Chinese philosophy, gender, and the enemy in cartoons and comics. Contributors: Laine Berman, John A. Lent, Fusami Ogi, Rei Okamoto, Ronald Provencher, Aruna Rao, Kuiyi Shen, Shimizu Isao, Shu-chu Wei, Yingjin Zhang.",Literary Criticism,270,N/A,0,en
Writing Humor,Mary Ann Rishel,Wayne State University Press,2002,"Providing both theory and praxis, this insightful and creative textbook explains how to write humor, comedy, satire, parody, nonsense, and both the literary and the joke monologue. Through its close analyses of short stories, sketches, essays, and scripts, it is a must-read for serious and not-so-serious writers of every genre. Guiding aspiring writers through the many techniques for creating humor, it illustrates and analyzes what works and what doesn't, suggests ways to energize passages that fall flat, and offers insights into brainstorming, team writing, and revision. This book includes the history and cultural background of each major genre, followed by a rich array of writing exercises. Readers will find an inventive selection of examples to learn from, including a script from M*A*S*H and pieces by such humorists as Woody Allen, Ogden Nash, and Art Buchwald-and by students as well.",Humor,338,5,2,en
How to Tell a Joke,Marcus Tullius Cicero,Princeton University Press,2021-03-30,"""Everyone knows that Marcus Tullius Cicero was one of the great statesmen, lawyers, and effective orators in the history of Rome. But did you also know he was regarded as one of the funniest people in Roman society as well? Five hundred years after his death, in the twilight of antiquity, the writer Macrobius ranks him alongside the comic playwright Plautus as the one of the two greatest wits ever. In this book, classicist Michael Fontaine, proposes to translate selections from Cicero's great rhetorical treatise, On the Ideal Orator (De Oratore). That larger work covered the whole of rhetoric and effective public speaking and debate. However, contained within it, is a long section focused on the effective use of humor in public speaking. In it, Cicero is concerned not just with various kinds of individual jokes, but with jokes that are advantageous in social situations. He advises readers on how to make the most effective use of wit to win friends, audiences, and achieve their overall ambitions. Cicero wants to teach his readers how to tell a joke without looking like a buffoon, and how to prevent or avoid jokes from backfiring. Hence, he does give scores of examples of jokes-some of which are timeless and translate easily, others that involve puns in Latin that challenged the translator's creativity. But overall, this work brings to the fore a little known, but important part of Cicero's classic work.""--",Foreign Language Study,326,N/A,0,en
More Mirth of a Nation,Michael J. Rosen,Harper Collins,2002-11-12,"More seriously funny writing from American's most trusted humor anthology Witty, wise, and just plain wonderful, the inaugural volume of this biennial, Mirth of a Nation, ensured a place for the best contemporary humor writing in the country. And with this second treasury, Michael J. Rosen has once again assembled a triumphant salute to one of America's greatest assets: its sense of humor. More than five dozen acclaimed authors showcase their hilariously inventive works, including Paul Rudnick, Henry Alford, Susan McCarthy, Media Person Lewis Grossberger, Ian Frazier, Richard Bausch, Amy Krouse Rosenthal, Nell Scovell, Andy Borowitz, and Ben Greenman -- just to mention a handful so that the other contributors can justify their feelings that the world slights them. But there's more! More Mirth of a Nation includes scads of Unnatural Histories from Randy Cohen, Will Durst's ""Top Top-100 Lists"" (including the top 100 colors, foods, and body parts), and three unabridged (albeit rather short) chapbooks: David Bader's ""How to Meditate Faster"" (Enlightenment for those who keep asking, ""Are we done yet?"") Matt Neuman's ""49 Simple Things You Can Do to Save the Earth"" (for instance, ""Make your own honey"" and ""Share your shower."") Francis Heaney's ""Holy Tango of Poetry"" (which answers the question, ""What if poets wrote poems whose titles were anagrams of their names, i.e., 'Toilets,' by T. S. Eliot?"") And there's still more: ""The Periodic Table of Rejected Elements,"" meaningless fables, Van Gogh's Etch A Sketch drawings, a Zagat's survey of existence, an international baby-naming encyclopedia, Aristotle's long-lost treatise ""On Baseball,"" and an unhealthy selection of letters from Dr. Science's mailbag. And that's just for starters! Just remember, as one reviewer wrote of the first volume, ""Don't drink milk while reading.""",Humor,600,N/A,0,en
Humor Theory,Igor Krichtafovitch,N/A,2006,"At last, the resution of eternal puzzle: WHY PEOPLE LAUGH. Igor Krishtafovich discovered a formula of laughter. As it turned out, humor is a weapon. Humor is a bloodless verbal fight aiming to raise your status and strengthen your position. Even a friendly banter is a sort of intellectual clash, a kind of training before serious battles. In fact, we try to figure out who's the boss in the family when we poke fun at our loved ones. ""If laughter is akin to aggression, why women have a liking for jesters?"" ""A sense of humor is a strong male quality. It is a sign of good intellect. Evolution stakes precisely on the intellect since a smart fellow has more chances of survival. That is why a sense of humor can be a much bigger sign of masculinity than the pumped-up muscles"".",Humor,176,N/A,0,en
Humour,Terry Eagleton,Yale University Press,2019-05-14,"A compelling guide to the fundamental place of humour and comedy within Western culture—by one of its greatest exponents Written by an acknowledged master of comedy, this study reflects on the nature of humour and the functions it serves. Why do we laugh? What are we to make of the sheer variety of laughter, from braying and cackling to sniggering and chortling? Is humour subversive, or can it defuse dissent? Can we define wit? Packed with illuminating ideas and a good many excellent jokes, the book critically examines various well-known theories of humour, including the idea that it springs from incongruity and the view that it reflects a mildly sadistic form of superiority to others. Drawing on a wide range of literary and philosophical sources, Terry Eagleton moves from Aristotle and Aquinas to Hobbes, Freud, and Bakhtin, looking in particular at the psychoanalytical mechanisms underlying humour and its social and political evolution over the centuries.",Philosophy,191,N/A,0,en
Handbook of Humor and Psychotherapy,"William F. Fry, Waleed A. Salameh",Professional Resource Press,1987,"In their first volume on this topic, the editors bring together the pioneers and innovators in the field to share their scholarship and techniques. The result is a comprehensive presentation on the role of humor in psychotherapy.",Humor,376,N/A,0,en
Humor in Craft,Brigitte Martin,Schiffer Craft,2012,"'What happens when professional craft artists are allowed to let loose-when they get to explore their mischievous and irreverent sides? Find out in this groundbreaking book, which, for the very first time, reveals an entirely different side of ""serious"" craft. Hundreds of images and essays from all over the world allow you to gain insight into the creative minds of contemporary artists like never before. A variety of traditional craft media are shown, such as furniture, ceramics, glass, fiber, jewelry, and metal, as well as a number of unique, nontraditional techniques. Even a bus shelter in London gets a creative make-over that's sure to make you smile! The topics range from the playful to the serious, but the message is always most enjoyable. Humor in craft is a treasure trove for craft aficionados and humor enthusiast alike.'",Crafts & Hobbies,0,N/A,0,en
All Joking Aside,Rebecca Krefting,JHU Press,2014-09,"A professor of American Studies—and stand-up comic—examines sharply focused comedy and its cultural utility in contemporary society. Outstanding Academic Title, Choice In this examination of stand-up comedy, Rebecca Krefting establishes a new genre of comedic production, “charged humor,” and charts its pathways from production to consumption. Some jokes are tears in the fabric of our beliefs—they challenge myths about how fair and democratic our society is and the behaviors and practices we enact to maintain those fictions. Jokes loaded with vitriol and delivered with verve, charged humor compels audiences to action, artfully summoning political critique. Since the institutionalization of stand-up comedy as a distinct cultural form, stand-up comics have leveraged charged humor to reveal social, political, and economic stratifications. All Joking Aside offers a history of charged comedy from the mid-twentieth century to the early aughts, highlighting dozens of talented comics from Dick Gregory and Robin Tyler to Micia Mosely and Hari Kondabolu. The popularity of charged humor has waxed and waned over the past sixty years. Indeed, the history of charged humor is a tale of intrigue and subversion featuring dive bars, public remonstrations, fickle audiences, movie stars turned politicians, commercial airlines, emergent technologies, neoliberal mind-sets, and a cavalcade of comic misfits with an ax to grind. Along the way, Krefting explores the fault lines in the modern economy of humor, why men are perceived to be funnier than women, the perplexing popularity of modern-day minstrelsy, and the way identities are packaged and sold in the marketplace. Appealing to anyone interested in the politics of humor and generating implications for the study of any form of popular entertainment, this history reflects on why we make the choices we do and the collective power of our consumptive practices. Readers will be delighted by the broad array of comic talent spotlighted in this book, and for those interested in comedy with substance, it will offer an alternative punchline.",History,360,N/A,0,en
The Sense of Humor,Willibald Ruch,Walter de Gruyter,2010-12-14,N/A,Language Arts & Disciplines,509,N/A,0,en
"Humor, Play and Laughter",Joseph A. Michelli,N/A,1998,"Parenting does not have to be a stressful experience. In fact, parents who lighten up and laugh with their families can be more productive by using humor to ease conflict, deflect hostility, and create a feeling of well-being in the household. Readers will benefit from the author's many everyday examples of how a humorous approach can greatly improve family life.",Family & Relationships,218,N/A,0,en
ESPN 25,Charles Hirshberg,ESPN Books,2004-09-07,"hen ESPN went on the air in September 1979, the company believed that there was room on television for dedicated sports programming. At the time, sports programming was considered a risk, and ESPN a maverick. Twenty-five years later, ESPN is the leader in sports, influencing the way we think about sports, the way the media covers sports, and how we perceive athletes. ESPN has grown from one cable station into a sports empire. ESPN25, the book, celebrates the people behind ESPN, the sports they cover, the athletes that play their hearts out, and, of course, the fans who care. The book includes the Best and Worst of Everything in Sports Over the Past 25 Years, an illustrated foldout of the Top 35 Athletes of the Past 25 years, the funniest sports quotes of the past 25 years, the DVD, an intro by Berman, Chuck's essay on the Highlights Culture and how it has changed the world of sports over the past 25 years. Bound into the book is a free DVD containing the ever popular, and now classic, ESPN SportsCenter commercials. Beginning in May '04 and running through September '04, ESPN will feature special 25th Anniversary programming, including television and radio specials, magazine features, and website contests. Perfect for both the serious and casual sports fan, ESPN25 relives some of the greatest moments in sports on each and every page.",Sports & Recreation,150,N/A,0,en
Cases on Applied and Therapeutic Humor,"Cundall Jr., Michael K., Kelly, Stephanie",IGI Global,2021-06-25,"Recent evidence indicates that humor is an important aspect of a person's health, and studies have shown that increased levels of humor help with stress, pain tolerance, and overall patient health outcomes. Still, many healthcare providers are hesitant to use humor in their practice for fear of offense or failure. Understanding more of how and why humor works as well as some of the issues related to real-world examples is essential to help practitioners be more successful in their use and understanding of humor in medical care. Through case studies and real-world applications of therapeutic humor, the field can be better understood and advanced for best practices and uses of this type of therapy. With this growing area of interest, research on humor in a patient care setting must be discussed. Cases on Applied and Therapeutic Humor focuses on humor in medical care and will discuss issues in humor research, assessment of the effectiveness of humor in medical settings, and examples of medical care in specific health settings. The chapters will explore how propriety, effectiveness, perception, and cultural variables play a role in using humor as therapy and will also provide practical case studies from medical/healthcare professionals in which they personally employed humor in medical practice. This book is ideal for medical students, therapists, researchers interested in health, humor, and medical care; healthcare professionals; humor researchers; along with practitioners, academicians, and students looking for a deeper understanding of the role humor can play as well as guidance as to the effective and meaningful use of humor in medical/healthcare settings.",Medical,283,N/A,0,en
"Humour, Comedy and Laughter",Lidia Dina Sciama,Berghahn Books,2016-04-01,"Anthropological writings on humor are not very numerous or extensive, but they do contain a great deal of insight into the diverse mental and social processes that underlie joking and laughter. On the basis of a wide range of ethnographic and textual materials, the chapters examine the cognitive, social, and moral aspects of humor and its potential to bring about a sense of amity and mutual understanding, even among different and possibly hostile people. Unfortunately, though, cartoons, jokes, and parodies can cause irremediable distress and offence. Nevertheless, contributors’ cross-cultural evidence confirms that the positive aspects of humor far outweigh the danger of deepening divisions and fueling hostilities",Social Science,220,N/A,0,en
Laughter and Ridicule,Michael Billig,SAGE,2005-10-03,"From Thomas Hobbes' fear of the power of laughter to the compulsory, packaged ""fun"" of the contemporary mass media, Billig takes the reader on a stimulating tour of the strange world of humour. Both a significant work of scholarship and a novel contribution to the understanding of the humourous, this is a seriously engaging book' - David Inglis, University of Aberdeen This delightful book tackles the prevailing assumption that laughter and humour are inherently good. In developing a critique of humour the author proposes a social theory that places humour - in the form of ridicule - as central to social life. Billig argues that all cultures use ridicule as a disciplinary means to uphold norms of conduct and conventions of meaning. Historically, theories of humour reflect wider visions of politics, morality and aesthetics. For example, Bergson argued that humour contains an element of cruelty while Freud suggested that we deceive ourselves about the true nature of our laughter. Billig discusses these and other theories, while using the topic of humour to throw light on the perennial social problems of regulation, control and emancipation.",Social Science,276,5,1,en
