Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
China's Porcelain Capital,Maris Boyd Gillette,Bloomsbury Publishing,2016-08-11,"Maris Boyd Gillette's groundbreaking study tells the story of Jingdezhen, China's porcelain capital, from its origins in 1004 in Song dynasty China to the present day. Gillette explores how Jingdezhen has been affected by state involvement in porcelain production, particularly during the long 20th century. She considers how the Chinese government has consumed, invested in, taxed and managed the local ceramics industry, and the effects of this state intervention on ceramists' lives, their local environment and the nature of the goods they produce. Gillette traces how Jingdezhen experienced the transition from imperial rule to state ownership under communism, the changing fortunes of the ceramics industry in the early 21st century, the decay and decline that accompanied privatisation, and a revival brought about by an entrepreneurial culture focusing on the manufacture of highly-prized 'art porcelain'.",Art,217,N/A,0,en
It Didn't Mean Anything,Alexander N. Howe,McFarland,2008-03-17,"This critical study of American detective fiction examines the history and development of the detective genre through the lens of psychoanalysis. Applying the ideas of French psychoanalyst Jacques Lacan, the author identifies and categorizes popular works according to the fictional protagonist's hysteria, obsessive neurosis, perversion or psychosis. The first chapter identifies several instances of hysteria within the fiction of two of the genre's pioneers, Edgar Allan Poe and Arthur Conan Doyle. Chapter Two traces the development of the hard-boiled detective's code of honor through the works of Dashiell Hammett, Raymond Chandler, and Mickey Spillane, identifying the often-paradoxical nature of this code and its origins in obsessive neurosis. Chapter Three analyzes the anti-detective fiction of Philip K. Dick in terms of paranoid psychosis, and the final chapter returns to the question of hysteria, taking up the female hard-boiled detectives of author Marcia Muller.",Literary Criticism,296,N/A,0,en
Bibliography for the study of British Columbia's domestic material history,Virginia Careless,University of Ottawa Press,1976-01-01,A bibliographic reference containing over eight hundred entries pertaining to British Columbia’s late nineteenth-century domestic material history.,History,84,N/A,0,en
Insiders' Guide® to Twin Cities,Jason Gabler,Rowman & Littlefield,2010-08-03,"Insiders' Guide to Twin Cities is the essential source for in-depth travel and relocation information to Minneapolis and St. Paul. Written by a local (and true insider), this guide offers a personal and practical perspective of the cities and the surrounding environs.",Travel,336,N/A,0,en
Consuming History,Jerome de Groot,Routledge,2009-01-13,"Non-academic history – ‘public history’ – is a complex, dynamic entity which impacts on the popular understanding of the past at all levels. In Consuming History, Jerome de Groot examines how society consumes history and how a reading of this consumption can help us understand popular culture and issues of representation. This book analyzes a wide range of cultural entities – from computer games to daytime television, from blockbuster fictional narratives such as Da Vinci Code to DNA genealogical tools – to analyze how history works in contemporary popular culture. Jerome de Groot probes how museums have responded to the heritage debate and the way in which new technologies have brought about a shift in access to history, from online game playing to internet genealogy. He discusses the often conflicted relationship between ‘public’ and academic history, and raises important questions about the theory and practice of history as a discipline. Whilst mainly focussing on the UK, the book also compares the experiences of the USA, France and Germany. Consuming History is an important and engaging analysis of the social consumption of history and offers an essential path through the debates for readers interested in history, cultural studies and the media.",History,305,N/A,0,en
Moon New Orleans,Laura Martone,Hachette UK,2016-01-26,"This full-color handbook includes vibrant photos and easy-to-use maps to help with trip planning. New Orleans native Laura Martone offers an insider's take on the Big Easy, from shopping on Magazine Street to listening to old-time jazz in Faubourg Marigny. Martone also includes a handful of fun trip itinerary ideas, including ""A Romantic Weekend,"" ""Mardi Gras,"" and ""Haunted New Orleans."" With tips on taking carriage rides through the French Quarter, visiting the Art District's museums, and bicycling in City Park, Moon New Orleans gives travelers the tools they need to create a more personal and memorable experience.",Travel,447,N/A,0,en
CIMA E3,BPP Learning Media,BPP Learning Media,2013-01-03,"The Enterprise Strategy Practice & Revision Kit allows you to apply your knowledge by putting theory in to practice. It contains three complete mock exams and many past exam questions on every area of the syllabus. The questions are supported by detailed solutions and tips on how to approach questions and earn easy marks. Through practice, you are equipped with the best techniques to face the exam and earn the maximum number of marks.",Business & Economics,529,N/A,0,en
Antiquing For Dummies,"Ron Zoglin, Deborah Shouse",John Wiley & Sons,2011-04-27,"“This is a fun and painless way to give yourself a firm grounding in the wide wonderful world of antiques and collectibles.” Kyle Husfloen, Managing Editor, Antique Trader Weekly and Antique Trader’s Antiques & Collectibles Price Guide Do you love to poke around estate sales and antique shops, but can’t tell the difference between Queen Anne and Queen Victoria furniture? Do you dream of owning that old Oriental rug or Meissen figurine — but worry that the dealer might gouge you on the price? Do you own pieces you think might be valuable — but don’t know where to go for a reliable appraisal? Relax. Antiquing For Dummies answers all your antiquing questions—and more. Whether you’re a beginner or you’ve already gotten your feet wet, this fun, friendly guide will give you the savvy you need to cruise, schmooze, bargain for, and care for antiques with confidence. In no time you’ll be able to: Tell the difference between real antiques and stuff that’s just old Develop an antique hunt plan of attack Select antiques based on the 5 key points of the “RADAR Test” Discover hidden treasures at garages, estate sales, auctions, and shops Get the best deals when buying and selling antiques Decorate with antique glass and porcelain from around the world Clean and care for your precious finds Work an auction—real-time and online Writing with humor and common sense, Ron Zoglin and Deborah Shouse demystify the highfaluting terminology of the antique world. And step-by-step they walk you through all the antiquing essential, including: Different furniture styles and periods of furniture and how to distinguish them Dovetails, nails, and other construction elements that offer clues to a piece’s age Where to go for the best antique bargains — includes tips on how to bid at auctions in person or online All about antique glass, ceramics and silver Integrating antiques into your life at home and at the office Antiquing For Dummies gets you up and running with what you need to know to find, research, and negotiate prices like a pro.",Antiques & Collectibles,390,N/A,0,en
Selling Shaker,"Stephen Bowe, Peter Richmond",Liverpool University Press,2007-01-01,"The simple yet striking lines of Shaker design grace much of the furniture we see in high-end department stores, and beautiful examples of it adorn the pages of Architectural Digest and House Beautiful. How did this style evolve from its origins in a humble, small religious community to the international design phenomenon it is today? This illustrated study explores the emergence of the Shaker style and how it was vigorously promoted by scholars and artists into the prominence it now enjoys. The heart of the Shaker style lies in the religious movement founded in the eighteenth century, where Stephen Bowe and Peter Richmond begin their chronicle. From there, the authors chart the evolution of the style into the twentieth century—particularly in the hands of design media, scholars, and art institutions. These Shaker “agents” repositioned Shaker style continuously—from local vernacular to high culture and then popular culture. Drawing on a rich array of sources, including museum catalogs, contemporary design magazines, and scholarly writings, Selling Shaker illustrates in detail how the Shaker style entered the general design consciousness and how the original aesthetic was gradually diluted into a generic style for a mass audience. A wholly original and fascinating study of American design and consumption, Selling Shaker is a unique resource for collectors, scholars, and anyone interested in the cultural history of a design aesthetic.",History,415,N/A,0,en
Antiques,,N/A,2004,N/A,Antiques,104,N/A,0,en
Antiques Flee Market,Barbara Allan,Kensington Books,2008-10-01,N/A,Fiction,232,N/A,0,en
The Art of Opium Antiques,Steven Martin,N/A,2007,"Explores an aspect of opium that has largely been ignored--the art and accoutrements associated with opium smoking that reached a pinnacle in nineteenth-century China and in Chinese communities abroad, from Saigon to Singapore to San Francisco.",Antiques & Collectibles,136,N/A,0,en
Collecting Japanese Antiques,Alistair Seton,Tuttle Publishing,2012-06-26,"Collecting Japanese Antiques is an excellent overview of the uniquely Japanese aesthetic and how it relates to Japanese culture. From the time Japan started trading with the West in the sixteenth century, Japanese arts and crafts have intrigued and delighted Westerners, especially lacquer, screens, swords and porcelain. Antique hunters will benefit from the practical and cautionary advice in this book; newcomers will appreciate information on the basics of collecting Japanese antiques; while other sections might reawaken interest in experienced collectors. Striking photographs throughout make this art and antiques book a must for collectors and lovers of Japanese art. Chapters include: Japan's Art Heritage Collecting for Fun and with Wisdom Screens and Scrolls Ukiyo-e and Other Prints Sagemono Ceramics Furniture Textiles Lacquerware Cloisonne Sculpture and Metalwork Swords and Armor Tea Ceremony Utensils Dolls Flower Baskets",Art,1009,N/A,0,en
DK Eyewitness Travel Guide New York City,DK Travel,Dorling Kindersley Ltd,2016-10-14,"Discover the spectacular landscape of iconic New York with the DK Eyewitness Travel Guide: New York City 2017. This travel guide showcases things to do in New York City and the best New York City attractions, from Ellis Island and the Guggenheim Museum to the Empire State Building and Brooklyn Museum, with unique illustrations, floorplans and reconstructions of the city's stunning architecture, plus 3D aerial views of the key districts to explore on foot. You'll find detailed listings for a wide variety of hotels and the best restaurants in New York, as well as insider tips on everything from markets and shopping to great attractions for children. Plus, there is a free audio download of five fascinating walks around the city. Winner of the Top Guidebook Series in the Wanderlust Reader Travel Awards 2017.",Travel,444,N/A,0,en
The Magazine Antiques,,N/A,1928,N/A,Antiques,1200,N/A,0,en
Handbook of Engraved Gems,Charles William King,N/A,1885,N/A,"Art, Ancient",486,N/A,0,en
Handbook of Engraved Gems,Charles William King (archéologue).),N/A,1885,N/A,"Art, Ancient",488,4,1,en
Miller's Antiques Handbook & Price Guide 2016-2017,Judith Miller,Hachette UK,2015-10-22,"""Miller's Antiques Price Guide has long been the market leader, offering not just prices but informed tips... Miller's is arguably the only price guide you will ever need."" Antiques Magazine Miller's Antiques Handbook & Price Guide remains the essential and trusted guide to the antiques market. It has earned the reputation of being the book no dealer, collector or auctioneer should be without. It is compiled by Judith Miller, world-renowned antiques expert and co-founder of the book, who selects the guide's 8000-plus featured antiques.",Antiques & Collectibles,651,N/A,0,en
The Antiques Journal,,N/A,1978,N/A,Antiques,72,N/A,0,en
"The Science of Gems, Jewels, Coins, and Medals, Ancient and Modern",Archibald Billing,London : [s.n.],1875,N/A,Coins,336,N/A,0,en
Soul of the Home,Tara Shaw,Abrams,2020-04-21,"Past meets present in this stylish guide to decorating modern homes with heirlooms and antiques. Designer and antiques dealer Tara Shaw is a respected supplier of French and European antiques for a host of AD100 and Elle Decor A-listers, including Bobby McAlpine, Mary McDonald, and Bunny Williams. In her first book, she helps readers understand how to select the best antiques and how to use them in a variety of decor schemes. The book presents never-before-published spaces from Shaw’s portfolio and reveals her favorite antique-hunting spots throughout Europe. Anecdotes from years of treasure hunting are accompanied by images of rare and precious finds, with text that decodes just how to choose the right pieces and display them in a contemporary interior. Readers will be able to look at each space and take away ideas they can apply to their own homes, to create personalized rooms full of provenance and beauty.",Antiques & Collectibles,280,N/A,0,en
Barbershop,Christian R. Jones,Schiffer Book for Collectors,1998,"This is the first volume ever to explore old-time barbershop items: poles, chairs, mugs, bottles, razors, signs, and much more. It documents the occupational history of traditional barbershops, which are fading today. More than 900 items appear in over 650 color photographs with current market prices.",Barbershops,0,N/A,0,en
Canadian Reference Sources,"Mary E. Bond, Martine M. Caron",UBC Press,1996,"In parallel columns of French and English, lists over 4,000 reference works and books on history and the humanities, breaking down the large divisions by subject, genre, type of document, and province or territory. Includes titles of national, provincial, territorial, or regional interest in every subject area when available. The entries describe the core focus of the book, its range of interest, scholarly paraphernalia, and any editions in the other Canadian language. The humanities headings are arts, language and linguistics, literature, performing arts, philosophy, and religion. Indexed by name, title, and French and English subject. Annotation copyrighted by Book News, Inc., Portland, OR",Language Arts & Disciplines,1102,N/A,0,en
Magazine Antiques,,N/A,1961,N/A,Antiques,706,N/A,0,en
Inspirations from France and Italy,Betty Lou Phillips,Gibbs Smith,2007,"Celebrates the old world of French and Italian design in decor by presenting photographs of interiors, close-ups of individual pieces, and advice on ways to create an inviting and international setting in one's home.",Architecture,220,3,1,en
Antiques Knock-Off,Barbara Allan,Kensington Books,2011-03-01,"When her ""charmingly eccentric"" mother Vivian is accused of killing mousy-haired busybody Connie Grimes after they were both involved in a bit of a scuffle, Brandy Borne must find the truth, which immerses her in a scandal involving questionable antiques and dark family secrets.",Fiction,240,N/A,0,en
Antiques from the Garden,Alistair Morris,N/A,1996,"Chosen to include in his book not only decorative antiques - garden structures and furniture, fountains, jardinieres and urns, but also everyday, down-to-earth 'gardenalia' without which a garden cannot be made in the first place - watering cans, flower pots, tools and implements, shears, secateurs, mowing machines, rollers, barrows, games and novelties. Here is a survey of some two hundred years of artefacts made for or related to the garden. It will be invaluable to.",Antiques & Collectibles,256,N/A,0,en
Antiquing in North Texas,"Ron McAdoo, Caryl McAdoo",Taylor Trade Publications,1999,"A guide to antique shops, malls, and flea markets.",Antiques & Collectibles,345,N/A,0,en
"The Bluffer's Guide: Bluff your way in antiques, gourmet cooking, football, interior decorating, the theatre, traveling",,N/A,1971,N/A,Art,386,N/A,0,en
How to Start a Home-Based Antiques Business,Jacquelyn Peake,N/A,1997,"Have you ever dreamed of starting your own home-based antiques business? Have you been hesitant to put your plans into action? This comprehensive book contains all the necessary tools and success strategies you will need to launch and grow your business. Author Jacquelyn Peake shares her experiences and down-to-earth advice on every aspect of setting up and running a thriving home-based antiques business, from estimating your start-up costs and finding customers to staying profitable once you are in business. Use her handy worksheets, checklists, and forms to achieve your goals in a realistic way. Whatever your plans, large or small, with this guide at your side you may soon experience the satisfaction of establishing and building your own home-based antiques business. While not searching for and refinishing antiques, Jacquelyn Peake is a writer specializing in how-to books and travel articles. She is the author of Globe Pequot's ""How to Recognize and Refinish Antiques for Pleasure and Profit"", and lectures throughout the country on antiques, book publishing, and writing.",Antiques & Collectibles,266,N/A,0,en
Summaries of Tariff Information,United States Tariff Commission,N/A,1948,N/A,Commercial products,950,N/A,0,en
Summaries of Tariff Information,,N/A,1950,N/A,Commercial products,950,N/A,0,en
Summaries of Tariff Information: pt.1-5. Free list. Products provided for in schedule 16 of the Tariff act of 1930,United States Tariff Commission,N/A,1950,N/A,Commercial products,264,N/A,0,en
The French Room,Betty Lou Phillips,Gibbs Smith,2008-09-10,"In The French Room, best-selling author and interior designer Betty Lou Phillips explains the age-wisdom and fervent beliefs that have long defined French decorating and reveals the principles behind designing the perfect French room. With more than 150 awe-inspiring photographs, Tres French also shares secrets on the ways color solves irksome design problems without moving walls or making other structural improvements, addresses the art of hanging art and dressing salon windows, then moves into the French kitchen and bed chamber to explore those unique cultures.",House & Home,209,N/A,0,en
The Practical Book of American Antiques,"Harold Donaldson Eberlein, Abbot McClure",N/A,1927,N/A,Antiques,512,N/A,0,en
"Insiders' Guide® to Richmond, VA",Maureen Egan,Rowman & Littlefield,2010-09-14,"Insiders' Guide to Richmond is the essential source for in-depth travel and relocation information to Virginia's capital city. Written by a local (and true insider), this guide offers a personal and practical perspective of Richmondand its surrounding environs.",Travel,327,N/A,0,en
The Pleasures and Treasures of Britain,David Kemp,Dundurn,1992-01-12,"Is a famous queen of Britain really bured beneath platform 10 at King's Cross station in London? What is the telephone number of the National Theatre? what is the best place to eat in Worcester? Where is the National Bagpipe Museum? (Hint: not in Scotland) Was Pointius Pilate born in Pitlochry? The answers to these questions and literally thousands more are to be found in David Kemp's fascinating guidebook, The Pleasures and Treasures of Britain. Nowhere else will the discerning traveller find so much diverse and essential information about British culture gathered together in one volume. With the author as your witty and knowledgeable guide, take a tour through nearly fifty cities, from Penzance to Perth, from London to Cardiff and Belfast. Each city section begins with a concise, readable history and a guided walk around the town, planned to take in as many of the significant local sights as can comfortably be included. Next are exhaustive listings, including telephone numbers and addresses, of everything a culturally curious visitor might want to seek out: theatre, art galleries, museums, antique markets, antiquarian and other bookstores, restaurants, lcoal fairs and festivals and more. Finally, under the headings of Artistic Associations and Ephemera, each section concludes with an entertaining collection of local lore, gossip, legend and anecdote.",Travel,441,N/A,0,en
Suzy Gershman's Born to Shop London,Suzy Gershman,John Wiley & Sons,2006-06-07,"""Gershman's guide may be the best guide for novice and pro shoppers alike,"" praises The Washington Post, and you'll agree. For more than ten years, Suzy Gershman has been leading savvy shoppers to the world's best finds. Now Born to Shop London, 12th Edition is easier to use and packed with more up-to-date listings than ever before. Inside you'll find: The best of the shopping scene, from world-class department stores ands trendy boutiques to street markets and sample sales Excellent values, from antiques to Doc Martens Great gift ideas, even for the friend who has everything—plus the best gifts for less than $15 The best airfare, hotel, and dining values—so you can maximize your shopping dollars Detailed city maps and shopping tours",Travel,314,N/A,0,en
ARTnews,,N/A,1956,N/A,Art,772,N/A,0,en
Antiques for Today's Interiors,"Genevieve Weaver, Helen Chislett",Sterling Publishing Company Incorporated,2000-05,"Even the most modern home can become the perfect setting for antiques! Take a new look at ways to use furniture, decorative items, and artwork from bygone times to visually stunning effect. Often made of beautiful materials rarely used nowadays, they'll add texture and focus to any room. Make an exciting interior with the most unlikely mix of pieces, blend styles with confidence, and base design schemes around a single, special artifact. Includes insiders' tips on purchasing.",House & Home,176,N/A,0,en
The Unofficial Guide to Collecting Antiques,Sonia Weiss,Wiley,2000-08-15,"The inside scoop… for when you want more than the official line! Only a few years ago, ""antiquing"" seemed to be only for the wealthy. Then came the Internet, with its profusion of Web sites, bulletin boards, and online auctions. Almost overnight, ""antiquing"" has become a much-loved hobby of the people! But with more antiquing choices than ever before, novice and experienced collectors have been left reeling. That's why when it comes to such key questions as where to hunt, how to appraise, and when to sell your own antiques, you can't rely on advice from 101 semi-objective sources. You need one dependable, clued-in source of antiquing wisdom. You want the inside scoop. The Unofficial Guide™ to Collecting Antiques is designed to give savvy consumers like you a foolproof appraisal of everything from where to find the best prices to sizing up value and seeing through fakes. In this book you'll get unbiased recommendations that are not influenced by any company, product, or organization. The Unofficial Guide™ to Collecting Antiques is intensively inspected by The Unofficial Panel of Experts: John Coker has been dealing antiques for nearly 30 years and has been a guest appraiser on PBS's ""Treasures in Your Attic""; former art history professor and museum curator James Kettlewell deals in fine arts and antiques; and Art Maier is an appraiser with William Doyle Galleries. These specialists ensure that you are armed with the most up-to-date insider information on the subject of antique collecting and are told exactly what ""the Official establishment"" doesn't want you to know. Vital Information on tapping into the vast array of collecting outlets available today—from classic venues to the Internet Insider Secrets on identifying antique periods and styles Money-Saving Techniques on how to find hidden treasures amidst flea markets and second-hand stores Time-Saving Tips on mastering the world of online antiques collecting The Latest Trends in smart selling of your own antiques—from wise timing to the pros and cons of trading over selling Handy Checklists and Charts for tracking your growing collection… and finding the country's best auctions and shows visit us on-line at www.idgbooks.com",Antiques & Collectibles,520,N/A,0,en
The Antique Collector,,N/A,1939,N/A,Antiques,280,N/A,0,en
Harper's New Monthly Magazine,Henry Mills Alden,N/A,1879,"Harper's informs a diverse body of readers of cultural, business, political, literary and scientific affairs.",American literature,980,N/A,0,en
Provencal Interiors,Betty Lou Phillips,Gibbs Smith,1998,"Inspired by the sun-drenched colours of Southern France, French country orrovencal decorating is as fitting in the city and suburbs as in rural areas.ut how does one go about achieving the provencal ambience?",Architecture,168,2,1,en
Women's Periodicals in the United States,"Kathleen L. Endres, Therese Lueck",Bloomsbury Publishing USA,1995-07-24,"Consumer magazines aimed at women are as diverse as the market they serve. Some are targeted to particular age groups, while others are marketed to different socioeconomic groups. These magazines are a reflection of the needs and interests of women and the place of women in American society. Changes in these magazines mirror the changing interests of women, the increased purchasing power of women, and the willingness of advertisers and publishers to reach a female audience. This reference book is a guide to women's consumer magazines published in the United States. Included are profiles of 75 magazines read chiefly by women. Each profile discusses the publication history and social context of the magazine and includes bibliographical references and a summary of publication statistics. Some of the magazines included started in the 19th century and are no longer published. Others have been available for more than a century, while some originated in the last decade. An introductory chapter discusses the history of U.S. consumer women's magazines, and a chronology charts their growth from 1784 to the present.",Language Arts & Disciplines,528,N/A,0,en
