Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Urban Recreation,United States. Interdepartmental Work Group on Urban Recreation,N/A,1974,"After his father walks out on his slightly crazy mother, sixteen-year-old Jason, the last child at home, finds it difficult to deal with his mother's increasing desperation.",Outdoor recreation,92,N/A,0,en
Recreation,United States. Works Progress Administration. Recreation Division,N/A,1938,N/A,Recreation,44,N/A,0,en
Park and Recreation Maintenance Management,"Robert E. Sternloff, Roger Warren",John Wiley & Sons,1984,N/A,Business & Economics,354,N/A,0,en
Therapeutic Recreation,"Marcia Jean Carter, Glen E. Van Andel",Waveland Press,2019-06-17,"For over 35 years, Therapeutic Recreation: A Practical Approach has provided an authoritative and engaging introduction to the field of therapeutic recreation. The Fifth Edition of Carter and Van Andel's well-regarded text extends this tradition of excellence, equipping a new generation of students with the theoretical foundations and practical methods they need to become successful practitioners. The authors present the fundamentals of recreational therapy practice from the perspective of a 21st-century health and human service profession: emphasizing evidenced-based practices and documented outcomes, supporting individual and community assets, promoting fiscal responsibility, and utilizing a strengths-based approach that focuses on an individual's capacities when developing a strategy to improve health status, quality of life, and functional abilities. Updates throughout reflect recent scholarship, revised standards and operational definitions, evidence-based literature to support interventions, and global health concerns. The critical component of documentation has been added to discussions of the APIE-D process, while chapters on neurodevelopmental disorders and behavioral and mental health issues incorporate the terminology and organization of the DSM-5. The latest edition also features expanded treatment of social issues and the adult-onset, chronic, and lifelong illnesses and disabilities associated with aging. This full-featured edition retains the student-oriented approach that makes it an ideal text for introductory courses. Illustrations, case studies, key terms, study questions, and practical exercises reinforce key concepts and offer opportunities to apply chapter content, while abundant field-based photographs illuminate the practice of recreational therapy.",Sports & Recreation,381,5,1,en
Leadership in Recreation and Leisure Services,"Timothy S. O'Connell, Brent Cuthbertson, Terilyn J. Goins",Human Kinetics,2018-10-30,"Leadership in Recreation and Leisure Services presents cutting-edge guidance and helps students apply their newfound knowledge as they prepare to enter the rapidly changing leisure services field. This text presents fresh insights on leadership from the most prominent voices in the field today. The contributors present a comprehensive look at modern leadership, identify the challenges future leaders will face, and reveal how future leaders can best prepare to meet those challenges. Leadership in Recreation and Leisure Services provides • a detailed look at the collaborative approach to leadership in leisure services that represents a new direction in the field; • insight into classical leadership as well as innovative and modern leadership theory and best practices; and • an understanding of the roles and functions students will fulfill as they enter the profession. The material, designed for undergraduate recreation and leisure services leadership courses, is presented in three parts. Part I explores personal leadership issues, including communication skills, negotiation strategies, and leadership styles. Part II delves into professional leadership, examining topics such as group dynamics, supervision practices, and team leadership. Part III explores organizational leadership, including internal and external leadership and professional development. The authors present new theories of leadership from research in the field of recreation and leisure. Several learning aids—including chapter-opening scenarios, key terms, glossary, references, and chapter-ending questions for reflection and discussion—appear throughout the text. In addition, each chapter features a Leisure Leaders sidebar that profiles a leader in the field who addresses preparation for the job, a peek at day-to-day work, and advice for aspiring leaders. And a Best Practices sidebar showcases an organization whose innovative leadership has led to positive organizational outcomes. Leadership in Recreation and Leisure Services helps students understand the range of leadership skills they need to develop for successful careers.",Sports & Recreation,320,N/A,0,en
Outdoor Recreation: a Legacy for America,United States. Bureau of Outdoor Recreation,N/A,1974,N/A,Government publications,480,N/A,0,en
Kraus' Recreation and Leisure in Modern Society,"Daniel McLean, Amy Hurd, University of Nevada Las Vegas Daniel McLean, Dr Amy Hurd",Jones & Bartlett Publishers,2014-02-18,"With a new full-color design with perforated worksheets, the Tenth Edition of Kraus' Recreation and Leisure in Modern Society provides a detailed introduction to the history, developments, and current trends in leisure studies. It addresses contemporary issues facing the recreation and leisure profession and focuses on challenges and opportunities that impact the profession now as well as years from now. Extensive research into emerging trends helps support the text and provide insights into the future. Focusing on the ten different types of organizations --ranging from nonprofit community organizations and armed forces recreation to sports management and travel and tourism sponsors -- this classic text text is an invaluable resource for students considering a career in the recreation and leisure industry. New to the Tenth Edition: - Discusses how specific trends, such as dramatic shifts in population make-up, the impact of technology, and marketing affect leisure-service systems and the recreation and park professions. - Focus on the role of parks and recreation on the health and wellness of our communities as well as means to combat the obesity epidemic in North America. - Includes new case studies which allow students to apply knowledge of technology in leisure, identify the value and benefits of play, and recognize the changing family structures of our modern society.",Education,356,N/A,0,en
Universal Access to Outdoor Recreation,,Plae,1993,N/A,Architecture,262,N/A,0,en
Parks and Recreation and Economics,Jadrian Wooten,Routledge,2021-06-29,"This book provides an in-depth look at the primary foundations of economics explored through the lens of the Pawnee Department of Parks and Recreation. Each episode of the hit television series, Parks and Recreation, includes material to help an eager learner understand the basics of one of the most fascinating fields of study. Whether you’ve wondered how economists determine specialization or why fast-food restaurants continue to pop up around your neighborhood, the same situations have occurred in Pawnee. Each chapter highlights key scenes or major episodes that demonstrate how the characters experience economics in exactly the same way the rest of us do. This text primarily builds on the debates that take place between Leslie, Ron, and their co-workers, while also exploring key questions such as whether governments should try to help people through direct intervention or sell off all the swings to private corporations and let businesses handle day-to-day decisions. Learn how incentives can make Jerry appear to be a more productive employee short-term, but end up causing chaos. Do you wonder what it would be like to live in the early 1800s? Thankfully Leslie has already done that for us. This book is a must-read for anyone looking for a fun way to learn the principles of economics, including as a supplementary text, and for all fans of Parks and Recreation. Take the advice of Tom and Donna and treat yo’ self to this key read.",Business & Economics,174,N/A,0,en
Managing Environments for Leisure and Recreation,Richard Broadhurst,Routledge,2002-09-26,"Can we balance the needs of the host, the environment and the visitor? Most people live for their leisure, recreation and travel opportunities. Managing Environments for Leisure and Recreation seeks to bring together the different strands of thought that inform the management of settings, for leisure and recreation. The text shows how a positive difference can be made to such activities, by taking a balanced approach in managing for the environment and for people, both now, and into the future. Managing Environments for Leisure and Recreation urges managers to balance the need for a systematic approach, with the need for a systemic development of an environmental management ethic. It is highly illustrated with over 50 line drawings and includes many case studies from around the world.",Science,386,N/A,0,en
Applications in Recreation & Leisure,"Kathleen A. Cordes, Hilmi Ibrahim",N/A,2003,"Contemporary look at today's leisure issues from different perspectives - philosophical, psychological, and sociological. With its life cycle approach and global view, it challenges students to think critically and broadly, and offers a practical look at recreation and leisure and features study aids that make every chapter an adventure in learning!",Leisure,0,N/A,0,en
"Recreation, a Medical Viewpoint",Paul Haun,N/A,1965,N/A,Recreation,128,N/A,0,en
Tourism and Recreation,"Arthur D. Little, Inc",N/A,1967,N/A,Outdoor recreation,316,N/A,0,en
The Politics of Park Design,Galen Cranz,MIT Press (MA),1982,"Galen Cranz surveys the rise of the park system from 1850 to the present through 4 stages - the pleasure ground, the reform park, the recreation facility and the open space system.",Social Science,376,N/A,0,en
Outdoor Recreation,United States. Bureau of Outdoor Recreation,N/A,1973,N/A,Government publications,104,N/A,0,en
Outdoor Recreation,United States. Bureau of Outdoor Recreation,N/A,1973,N/A,Outdoor recreation,89,N/A,0,en
Introduction to Recreation Services,Karla A. Henderson,N/A,2013-12-31,"Introduction to Recreation Services: Sustainability for a Changing World explores the meanings of leisure for people and the importance of recreation services in society. The focus is on all sectors of the recreation services field, including public, nonprofit, and private business entities. The emphasis is on introducing students to career opportunities in recreation services and the benefits as well as challenges facing recreation professionals in a changing world. The philosophy that is presented in this book is that social, economic, and environmental sustainability concerns should underlie all recreation services. Many perspectives could be taken to provide an introduction to recreation services, but this book targets recreation services embodied in specialties such as parks and recreation, sports, tourism, event management, outdoor leadership and management, and therapeutic recreation.",Leisure,0,N/A,0,en
Thrillcraft,George Wuerthner,N/A,2007,"Thrillcraft: The Environmental Consequences of Motorized Recreation exposes the lasting damage done to our land, water, and air from the growing plague of jet skis, quads, dirt bikes, dune buggies, snowmobiles, and other motorized recreational craft that are penetrating the last bastions of wild America. The increase in thrillcraft use is responsible for wildlife habitat fragmentation, disturbance of sensitive wildlife, soil erosion, spread of invasive weeds, loss of silence, as well as water and air pollution. With more than one hundred shocking color photographs, Thrillcraft vividly documents the destruction caused by these machines on American public lands. Essays by activists, policy experts, scientists, and others support the photographs, explain the harm done by these machines, and critique the cultural foundation of this phenomenon. Thrillcraft bears witness to the mindless destruction of our collective natural heritage and offers a vision for a future when the howl of the wind or wolf can again be heard more often than the howl of a machine.",Nature,0,N/A,0,en
Community Leisure and Recreation Planning,"Ken Marriott, John Tower, Katie McDonald",Routledge,2020-11-01,"Community Leisure and Recreation Planning offers an up-to-date, evidence-based approach to planning community leisure and recreation facilities, programs and services. It introduces readers to key theory and best practice in the planning of effective leisure and recreation projects. The book defines planning, leisure, recreation and other key concepts and explains why a thorough planning process is essential to achieving effective outcomes. It presents a comprehensive, integrative four phase model for undertaking leisure and recreation planning, including: pre-planning, planning research, preparing a plan, and implementing, monitoring and evaluating the outputs and outcomes of a plan. It provides a conceptual rationale for each component of the planning process, a detailed explanation of the tools and techniques that can be used, and extensive examples and international case study materials to demonstrate their use. The principles and techniques explained in the book are applicable at a range of community levels from small individual sites to regions, states and even countries. This is an essential course text for all leisure and recreation courses, and invaluable reading for academics, practitioners, stakeholders and students working in leisure and recreation planning, events, culture and sport.",Sports & Recreation,357,N/A,0,en
Kraus' Recreation and Leisure in Modern Society,"Daniel D. McLean, Amy R. Hurd, Nancy Brattain Rogers",Jones & Bartlett Learning,2005,"Dr. Jan Louise Jones, Southern Connecticut State University --Book Jacket.",Business & Economics,388,N/A,0,en
Parks and Recreation: The Official Cookbook,Jenn Fujikawa,BenBella Books,2022-06-28,"Prepare to treat yo self! Parks and Recreation: The Official Cookbook is the ultimate way for fans to visit the kitchens, restaurants, and Harvest Festivals of Pawnee, IN, without ever leaving their homes. And though “there has never been a sadness that can’t be cured by breakfast food,” home cooks of every skill level will be able to recreate meals for any time of day, including: Leslie Knope’s Favorite JJ’s Diner Waffles Eagleton Crepes Ron Swanson’s Meat Tornado Burrito Paunch Burger’s Double Bason Grenade Deluxe Chris Traeger’s Turkey Burger and Literally the Best Salad You’ve Ever Had Stu’s Stew April and Andy’s Most Amazing Grilled Cheese Sandwich Ever Made Ben’s Calzones And don’t forget to treat yo self to: Donna’s Mimosas Marshmallow Ron Swansons Sweetums Sugar Splash Floats Featuring more photos, quotes, and many vegetarian, vegan, and gluten-free options than there are rules to The Cones of Dunshire, Parks and Recreation: The Official Cookbook serves up something for every fan!",Cooking,235,N/A,0,en
Foundations of Therapeutic Recreation,"Terry Long, Terry Robertson",Human Kinetics Publishers,2020,"Foundations of Therapeutic Recreation, Second Edition, provides students with evidence-based information on fundamental concepts in therapeutic recreation to help them explore the various career possibilities in the field.",Medical,289,N/A,0,en
Design for Outdoor Recreation,Simon Bell,Taylor & Francis,2008-07-02,"Design for Outdoor Recreation takes a detailed look at all aspects of design of facilities needed by visitors to outdoor recreation destinations. The book is a comprehensive manual for planners, designers and managers of recreation taking them through the processes of design and enabling them to find the most appropriate balance between visitor needs and the capacity of the landscape. A range of different aspects are covered including car parking, information signing, hiking, waterside activities, wildlife watching and camping. This second edition incorporates new examples from overseas, including Australia, New Zealand, Japan and Eastern Europe as well as focusing on more current issues such as accessibility and the changing demands for recreational use.",Architecture,241,N/A,0,en
Outdoor Recreation: a Legacy for America,United States. Bureau of Outdoor Recreation,N/A,1973,N/A,Outdoor recreation,239,N/A,0,en
Therapeutic Recreation,"Marcia Jean Carter, Glen E. Van Andel, Gary M. Robb",N/A,1995,"This second edition offers a comprehensive, practical, & student-oriented overview of therapeutic recreation as a profession & as a career choice.",Psychology,616,N/A,0,en
Batman: The Official Coloring Book,Insight Editions,Simon and Schuster,2022-02-22,"Bring the world of the Caped Crusader to life upon the pages of Batman: The Official Coloring Book, filled with ready-to-color, detailed illustrations. The Dark Knight. The World’s Greatest Detective. The Defender of Gotham City. Bring your unique creativity to this official coloring book featuring DC Comics’ iconic superhero, the one and only Batman. 60+ COLORING PAGES: Detailed pages offer hours of coloring fun, featuring iconic scenes from the streets of Gotham City, to the Batcave, and beyond. ACTION-PACKED: Fan-favorite characters like Batman, Robin, and the Joker explode off the ready-to-color pages. HEROES AND VILLAINS: Help the Dark Knight bring peace to Gotham City, and witness his iconic struggle against foes like The Penguin and Harley Quinn. CREATIVE EXPRESSION: Enjoy hours of creative fun and relaxation through coloring with one of the world’s mightiest of heroes.",Comics & Graphic Novels,64,N/A,0,en
Roxaboxen,Alice McLerran,Harper Collins,2004-04-13,"Marian called it Roxaboxen. (She always knew the name of everything.) There across the road, it looked like any rocky hill -- nothing but sand and rocks, some old wooden boxes, cactus and greasewood and thorny ocotillo -- but it was a special place: a sparkling world of jeweled homes, streets edged with the whitest stones, and two ice cream shops. Come with us there, where all you need to gallop fast and free is a long stick and a soaring imagination. In glowing desert hues, artist Barbara Cooney has caught the magic of Alice McLerran's treasured land of Roxaboxen -- a place that really was, and, once you've been there, always is.",Juvenile Fiction,35,5,1,en
Arid Land Resource Inventories,,N/A,1981,N/A,Arid regions,638,N/A,0,en
Report,,N/A,1947,N/A,Child welfare,890,N/A,0,en
"Coal Resources Development, Central Utah",,N/A,1979,N/A,,340,N/A,0,en
"Resource Management Plan/environmental Impact Statement for the Medicine Bow and Divide Resource Areas, Rawlins District, Wyoming : Draft",United States. Bureau of Land Management. Rawlins District,N/A,1987,N/A,Conservation of natural resources,328,N/A,0,en
"Payette National Forest (N.F.), Fourmile Timber Sale",,N/A,1997,N/A,,332,N/A,0,en
General Technical Report PNW-GTR,,N/A,1987,N/A,Forests and forestry,586,N/A,0,en
"Hearings, Reports and Prints of the Senate Committee on Interior and Insular Affairs",United States. Congress. Senate. Committee on Interior and Insular Affairs,N/A,1976,N/A,Legislative hearings,1392,N/A,0,en
General Technical Report NE,,N/A,1980,N/A,Forests and forestry,336,N/A,0,en
Occupational Outlook Quarterly,,N/A,1965,N/A,Occupations,318,N/A,0,en
Research Needs,United States. Federal Water Pollution Control Administration,N/A,1968,N/A,Water quality,118,N/A,0,en
Department of the Interior and Related Agencies Appropriations for Fiscal Year 1977,United States. Congress. Senate. Committee on Appropriations. Subcommittee on the Department of the Interior and Related Agencies,N/A,1976,N/A,United States,1244,N/A,0,en
A Literature Review,,N/A,1986,N/A,Conservation of natural resources,1010,N/A,0,en
Department of the Interior and Related Agencies Appropriations for 1977,United States. Congress. House. Committee on Appropriations. Subcommittee on Department of the Interior and Related Agencies,N/A,1978,N/A,United States,1242,N/A,0,en
"Department of the Interior and Related Agencies Appropriations for Fiscal Year 1971, Hearings Before ... 91-2, on H.R. 17619",United States. Congress. Senate. Appropriations Committee,N/A,1970,N/A,,1374,N/A,0,en
Opportunity and Challenge,"James Muhn, Hanson R. Stuart",N/A,1988,N/A,Government publications,324,N/A,0,en
Hearings,United States. Congress. Senate. Committee on Appropriations,N/A,1970,N/A,,1430,N/A,0,en
Department of the Interior and related agencies appropriations for fiscal year 1983,United States. Congress. Senate. Committee on Appropriations. Subcommittee on the Department of the Interior and Related Agencies,N/A,1983,N/A,United States,944,N/A,0,en
Annals of the American Academy of Political and Social Science,,N/A,1916,N/A,Political science,928,N/A,0,en
"Hearings, Reports and Prints of the House Committee on Merchant Marine and Fisheries",United States. Congress. House. Committee on Merchant Marine and Fisheries,N/A,1968,N/A,Fishery law and legislation,1380,N/A,0,en
Pacific Northwest Region Plan Standards and Guidelines,,N/A,1984,N/A,,258,N/A,0,en
"Colville National Forest (N.F.), Deadman Creek Ecosystem Management Projects, Ferry County",,N/A,2001,N/A,,200,N/A,0,en
Library List,National Agricultural Library (U.S.),N/A,1948,N/A,Agriculture,1338,N/A,0,en
Current Catalog,National Library of Medicine (U.S.),N/A,N/A,First multi-year cumulation covers six years: 1965-70.,Medicine,1568,N/A,0,en
Draft Environmental Impact Statement,,N/A,1987,N/A,Conservation of natural resources,818,N/A,0,en
"Hearings, Reports and Prints of the Senate Committee on Appropriations",United States. Congress. Senate. Committee on Appropriations,N/A,1973,N/A,"Finance, Public",2074,N/A,0,en
A Place to Live,United States. Department of Agriculture,N/A,1963,N/A,Agriculture,614,N/A,0,en
"Hearings, Reports and Prints of the Senate Committee on Labor and Public Welfare",United States. Congress. Senate. Committee on Labor and Public Welfare,N/A,1976,N/A,Labor policy,1660,N/A,0,en
"Wastewater Treatment Facilities, South Shore Lake Tahoe Basin",United States. Environmental Protection Agency. Region IX.,N/A,1981,N/A,Sewage,462,N/A,0,en
"A briefing guide, #2",,N/A,1981,N/A,Forest policy,40,N/A,0,en
"Shasta-Trinity National Forest (N.F.), Land and Resource(s) Management Plan (LRMP)",,N/A,1986,N/A,,416,N/A,0,en
"Rehabilitation of the Handicapped Programs, 1976",United States. Congress. Senate. Committee on Labor and Public Welfare. Subcommittee on the Handicapped,N/A,1976,N/A,Vocational rehabilitation,644,N/A,0,en
200 Years of Children,Edith Henderson Grotberg,N/A,1977,N/A,Child development,504,N/A,0,en
Hearings,United States. Congress. House,N/A,1944,N/A,,3046,N/A,0,en
TIPS FOR SELECTING YOUR IDEAL SPOUSE,EVARAH ABDULKADIR,Lulu.com,2012-02-01,"This book contains 5oo Tested and Trusted Tips for selecting your Ideal spouse, which is the prerequisite for an ideal home. Make sure you have seen at least 300 out of the 500 hundred Tips discussed herein before you label him or her your perfect match in order to co-habit, lovely, peacefully and happily.Do not agree to marry him or her until you have purchased and read this book. Again do not allow your sons and daughters to marry that man or woman until you have purchased this book for them to absorb the terse content. Cheer not Jeer.",Art,246,N/A,0,en
Managing Outdoor Recreation,"Robert E. Manning, Laura E. Anderson",Cabi,2012,"The global popularity of outdoor recreation and ecotourism is on the increase. At present, there is little systematic information on the management practices that have been successful in National Parks. This book presents the issue of how to manage outdoor recreation in ways that protect the integrity of park resources and the quality of the visitor experience. Using case studies drawn from the U.S. National Park System, it illustrates a range of successful management approaches that can be applied worldwide.",Business & Economics,243,N/A,0,en
"Four Mile Run Local Flood Protection, Alexandria/Arlington Counties",,N/A,1971,N/A,,262,N/A,0,en
Leisure and Recreation,"Martin Henry Neumeyer, Esther Sternberg Neumeyer",N/A,1958,N/A,Psychology,604,N/A,0,en
Eighteen Months' Work of the Milwaukee Bureau of Economy and Efficiency,John Rogers Commons,N/A,1912,N/A,Milwaukee (Wis.),390,N/A,0,en
Bulletin,Milwaukee (Wis.) Bureau of Economy and Efficiency,N/A,1912,N/A,Milwaukee (Wis.),36,N/A,0,en
Report of the Public Playgrounds Commission,Philadelphia (Pa.). Public Playgrounds Commission,N/A,1910,N/A,Playgrounds,76,N/A,0,en
Research in Education,,N/A,1970,N/A,Education,936,N/A,0,en
Forest Recreation,Robert W. Douglass,Elsevier,2013-10-22,"Forest Recreation focuses on the increasing consideration of forests as destination for recreation. The book aims to put together the findings of researchers on the issues and problems that confront forest recreation administrators and the demands of the public. The selection also offers guidance to forest land managers with respect to the basic requirements of forest recreation as well as in planning. The book starts by defining outdoor recreation, including history and the factors affecting this type of recreation. The text then gives information on the number of forest recreation areas and the distribution of these areas, as well as the underlying legislation covering outdoor recreation. Forest recreation planning is noted, which includes a discussion of a state-wide comprehensive outdoor recreation plan. The book also discusses site selection and the development of recreation areas. Classification of areas in forests is also described, which includes picnic grounds, camping sites, and trails. Sanitation in forest recreation areas is also discussed. The text can best serve the interest of forest land managers, forest technicians, foresters, park technicians, and private landowners who are responsible in planning, developing, and administering forest recreation places.",Business & Economics,337,N/A,0,en
ORRRC Study Report,,N/A,1962,N/A,Outdoor recreation,718,N/A,0,en
"Outer Continental Shelf Natural Gas and Oil Resource Management Comprehensive Program, 1992-1997",United States. Minerals Management Service,N/A,1991,N/A,Continental shelf,820,N/A,0,en
International Index to Periodicals,,N/A,1924,"An author and subject index to publications in fields of anthropology, archaeology and classical studies, economics, folklore, geography, history, language and literature, music, philosophy, political science, religion and theology, sociology and theatre arts.",Humanities,1528,N/A,0,en
Federal Probation,,N/A,1941,N/A,Crime,252,5,1,en
Outdoor Recreation,"Robert L. Adams, United States. Bureau of Outdoor Recreation",N/A,1973,N/A,Outdoor recreation,482,N/A,0,en
Report of the President's Water Resources Policy Commission,United States. Water Resources Policy Commission,N/A,1950,N/A,Hydraulic engineering,514,N/A,0,en
Leisure and Recreation Management,George Torkildsen,Psychology Press,2005,'Leisure and Recreation Management' is essential reading for anyone interested in exploring both the theory and the practicalities of managing leisure and recreational facilities.,Business & Economics,600,5,1,en
"Natural Resources--land, Forest and Wildlife Management",United States. Department of the Army,N/A,1995,N/A,Forest management,44,N/A,0,en
Trends,,N/A,1978,N/A,Conservation of natural resources,430,N/A,0,en
