Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Lost Books of the Bible and The Forgotten Books of Eden,Rutherford Hayes Platt,Nelson Bibles,1927,Presented here are two volumes of apocryphal writings reflecting the life and time of the Old and New Testaments. Stories told by contemporary fiction writers of historical Bible times in fascinating and beautiful style.,Apocryphal books,660,N/A,0,en
The Great Adventure Catholic Bible,"Jeff Cavins, Mary Healy, Peter Williamson",Ascension Press,2018-09-04,N/A,Religion,0,N/A,0,en
The Bible of Bibles,,Health Research Books,1996-09,"1879 Containing a description of twenty-seven bibles, & an exposition of 2,000 Biblical errors in science, history, morals, religion, & general events; also a delineation of the characters of the principle personages of the Christian Bible, & an examina.","Body, Mind & Spirit",452,N/A,0,en
The Theology Handbook,The Daily Grace Co.,N/A,2021-04,N/A,,0,N/A,0,en
The Bible Recap,Tara-Leigh Cobble,Baker Books,2020-11-03,"Have you ever closed your Bible and thought, What did I just read? Whether you're brand-new to the Bible or you grew up in the second pew, reading Scripture can feel confusing or boring at times. Understanding it well seems to require reading it thoroughly (and even repeatedly), but who wants to read something they don't understand? If you've ever wanted to read through the Bible or even just wanted to want to read it, The Bible Recap is here to help. Following a chronological Bible reading plan, these recaps explain and connect the story of Scripture, section by section. Soon you'll see yourself as a child of God who knows and loves His Word in the ways you've always hoped for. You don't have to go to seminary. You don't need a special Bible. Just start reading this book alongside your Bible and see what God has to say about Himself in the story He's telling. ""Tara-Leigh gets me excited to read the Bible. Period. I have found a trusted guide to walk me into deeper understanding of the Scriptures.""--MICHAEL DEAN MCDONALD, the Bible Project",Religion,764,5,1,en
"National Directory for the Formation, Ministry, and Life of Permanent Deacons in the United States",Catholic Church. National Conference of Catholic Bishops. Bishops' Committee on the Permanent Diaconate,USCCB Publishing,2005,"The national directory addresses the dimensions and perspectives in the formation of deacons and the model standards for the formation, ministry, and life of deacons in the United States. It is intended as a guideline for formation, ministry, and life of permanent deacons and a directive to be utilized when preparing or updating a diaconate program in formulating policies for the ministry and life of deacons. This volume also includes Basic Standards for Readiness for the formation of permanent deacons in the United States, from the bishops' Committee on the Diaconate, and the committee document Visit of Consultation Teams to Diocesan Permanent Diaconate Formation Programs.",Religion,242,N/A,0,en
Minister's Bible-ESV,Hendrickson Publishing,Hendrickson Publishers,2009-10,"This volume perfectly complements the work or pastors and counselors; those engaged in the work of pastoral care, lay leaders-indeed, anyone active in the spectrum of Christian service. It offers those who minister a unique, unparalleled collection of resources, including a practical guide to visitation; sample services for weddings, baptisms, and funerals; a step-by-step plan of salvation; easily-accessed scripture references to answer tough questions; and much more. Now a Minister's Biblebased upon the increasingly popular ESV joins Hendrickson's successful line of KJV, NASB, NIV, and NKJV editions. Like its predecessors, the new book will make an excellent gift, whether for seminary graduation, Pastor's Appreciation Month, ministry anniversaries, or any special occasion. OTHER FEATURES INCLUDE â€¢ Black letter text with helpful cross-references â€¢ Concordance and accurate, full color maps â€¢ Key Bible promises section â€¢ Sturdy sewn binding for years of use",Bibles,1153,N/A,0,en
"The Bible of Bibles; Or, Twenty-Seven ""Divine"" Revelations","Kersey Graves, Lydia M. Graves",Good Press,2021-05-19,"The Bible of Bibles is a scholarly religious work written by Kersey Graves. It analyzes the many different books and writings of different religions, with a critical view to any errors or inconsistencies noted.",Fiction,455,N/A,0,en
The Bible,Brian Singer-Towns,Saint Mary's Press,2000-09-16,"The older teens in your parish want a youth ministry program that exposes them to relevant, real-world topics in an active, engaging way. Horizons is an innovative, comprehensive approach to religious education. Its foundation is teacher-led, creative learning strategies that give students ample opportunities for discussion, reflection--and fun! Designed for grades 9-12, Horizons utilizes a module system so that you can combine courses and topics to meet the specific needs of your parish. Seven core courses set the stage for discussing central and foundational themes. Then choose from a wide selection of age-appropriate minicourses to round out your curriculum and craft summer courses, retreats, and youth-group activities. The Youth Ministry Strategies component features more than 65 creative youth activities to complement the Horizons curriculum. And on top of all that, Horizons includes outstanding training resources. You'll be able to create the most engaging and relevant youth ministry program for senior high that is available anywhere.",,108,N/A,0,en
Eat This Book,Eugene H. Peterson,Wm. B. Eerdmans Publishing,2009-07-29,"""Eugene Peterson maintains that how we read the Bible is as important as that we read it. The second volume of Peterson's momentous five-part work on spiritual theology, Eat This Book challenges us to read the Scriptures on their own terms, as God's revelation, and to live them as we read them. Countering the widespread practice of using the Bible for self-serving purposes, Peterson here serves readers with a nourishing entrée into the formative, life-changing art of spiritual reading."" - from the back of the book.",Religion,200,N/A,0,en
The Assumption of Moses,Robert Henry Charles,N/A,1897,"The Assumption of Moses by Robert Henry Charles, first published in 1897, is a rare manuscript, the original residing in one of the great libraries of the world. This book is a reproduction of that original, which has been scanned and cleaned by state-of-the-art publishing tools for better readability and enhanced appreciation. Restoration Editors' mission is to bring long out of print manuscripts back to life. Some smudges, annotations or unclear text may still exist, due to permanent damage to the original work. We believe the literary significance of the text justifies offering this reproduction, allowing a new generation to appreciate it.",History,206,N/A,0,en
The Clear Word,Jack Blanco,Review and Herald Pub Assoc,2007-05,"The Clear Word lets the power of ancient texts come through today. As the meaning of Scripture becomes more transparent, you see more of Gods grace. His love shines through even in difficult Old Testament passages. The Clear Word has renewed the devotional lives of thousands of people. Let it renew yours. Now available in the popular two-column format with the text in paragraphs.",Bibles,1360,3,5,en
Book of Ruth,Alabaster Co,N/A,2021-04,N/A,,0,N/A,0,en
The World's Greatest Book,Museum of the Bible Books,Museum of the Bible Books,2017-09-19,"Welcome to the fascinating story of how we got the world's greatest book -- the Bible. It is a captivating story that includes a little bit of everything: adventure and violence, mystery and bravery, and dumb luck or divine intervention -- depending on your point of view. How in the world did we get this book that some people swear by and other people swear at? You don't have to be a skeptic to have a grocery list of questions about the formation of the Bible, such as: Who wrote these documents and when? How were these ancient writings transmitted through the ages? As scribes made copies of copies, didn't they make mistakes that caused the ancient writings to be changed and corrupted? How was it decided which writings would be included in the Bible? What are the Dead Sea Scrolls, and why are archaeological finds like these such a big deal? Devoted people dedicated their lives throughout time to put this unique book into the hands of people worldwide. Retrace the passion and intrigue behind the Bible's creation.",Study Aids,236,N/A,0,en
Thumb Bibles,Gottfried Adam,BRILL,2022-10-31,"Thumb bibles are a previously unexplored genre of miniature books. This study examines them from a theological, literary, book-historical and pious perspective.",Religion,449,N/A,0,en
An American Bible,Paul C. Gutjahr,Stanford University Press,1999,"""An American Bible is an extremely compelling piece of cultural history that succeeds in making rich rather than schematic sense of the major dramas that lay behind the production of over 1,700 different American editions of the Bible in the century after the American Revolution. Gutjahr's book is especially powerful in demonstrating how nineteenth-century efforts to purge the Bible of textual and translational impurities in search of an 'authentic' text led ironically to the emergence of entirely new gospels like the Book of Mormon and the massive fictionalized literature dealing with the life of Christ."" --Jay Fliegelman, Stanford University During the first three-quarters of the nineteenth century, American publishing experienced unprecedented, exponential growth. An emerging market economy, widespread religious revival, educational reforms, and innovations in print technology worked together to create a culture increasingly formed and framed by the power of print. At the center of this new culture was the Bible, the book that has been called ""the best seller"" in American publishing history. Yet it is important to realize that the Bible in America was not a simple, uniform entity. First printed in the United States during the American Revolution, the Bible underwent many revisions, translations, and changes in format as different editors and publishers appropriated it to meet a wide range of changing ideological and economic demands. This book examines how many different constituencies (both secular and religious) fought to keep the Bible the preeminent text in the United States as the country's print marketplace experienced explosive growth. The author shows how these heated battles had profound consequences for many American cultural practices and forms of printed material. By exploring how publishers, clergymen, politicians, educators, and lay persons met the threat that new printed material posed to the dominance of the Bible by changing both its form and its contents, the author reveals the causes and consequences of mutating God's supposedly immutable Word.",History,292,5,1,en
The God Who Is There,D. A. Carson,Baker Books,2010-07-01,"It can no longer be assumed that most people--or even most Christians--have a basic understanding of the Bible. Many don't know the difference between the Old and New Testament, and even the more well-known biblical figures are often misunderstood. It is getting harder to talk about Jesus accurately and compellingly because listeners have no proper context with which to understand God's story of redemption. In this basic introduction to faith, D. A. Carson takes seekers, new Christians, and small groups through the big story of Scripture. He helps readers to know what they believe and why they believe it. The companion leader's guide helps evangelistic study groups, small groups, and Sunday school classes make the best use of this book in group settings.",Religion,240,N/A,0,en
Revelation,,Canongate Books,1999-01-01,"The final book of the Bible, Revelation prophesies the ultimate judgement of mankind in a series of allegorical visions, grisly images and numerological predictions. According to these, empires will fall, the ""Beast"" will be destroyed and Christ will rule a new Jerusalem. With an introduction by Will Self.",Bibles,60,4.5,2,en
New Catholic Picture Bible,Lawrence G. Lovasik,Catholic Book Publishing,1955,"Here are Catholic stories taken from the Holy Bible, intended for the whole family and easy to understand. The first part treats the Old Testament from Adam to Christ and contains the most important and memorable events in God\'s dealings with man during that time. The second part contains sixty stories from the New Testament that narrate beautifully the life, teachings, and work of Our Lord and Savior. These simply written stories, praised by leading Catholic educators for their style, will delight children time after time. Gift boxed. We invite you to view other Children's Bibles here: https: //catholicbookpublishing.com/browse/childrens-bibles.",Juvenile Nonfiction,0,N/A,0,en
The Power of Forgiveness: Pope Francis on Reconciliation,United States Conference of Catholic Bishops,N/A,2021-08-24,"The Power of Forgiveness, Pope Francis on Reconciliation calls the reader to explore the mercy of God, received in a profound way by turning toward God in the Sacrament of Reconciliation. This heartfelt collection of the Pope's reflections on the need for repentance, awareness of sin, God's divine mercy, forgiveness of others, and confession and absolution, is a transformative read for Catholics of all vocational states!",,133,N/A,0,en
Kleiner Katechismus,"Martin Luther, Johann Friedrich Adolf Krug",Legare Street Press,2023-07-18,"Johann Friedrich Adolf Krug's edition of Martin Luther's Small Catechism offers a concise and accessible guide to the basics of Christian theology and practice. An essential resource for students of religion and anyone seeking a deeper understanding of Christianity. This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the ""public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,0,N/A,0,en
Manna and Mercy,Daniel Erlander,N/A,1992,"Through imagination, clarity, humor and cartoon, Daniel Erlander retells the Bible's story. Follows the themes of bread and forgiveness.",Bible,93,N/A,0,en
The Bible: a history,"Stephen M Miller, Robert V Huber",Lion Books,2015-05-15,"The Bible has had a profound influence on the diverse cultures of Europe and the British Isles, the Americas, Australia and Africa, and has even left an imprint on Asia. It is a book that has inspired the whole range of human emotion and experience, including some of the finest art and literature. And even in this current age, which often considers itself secular and post-Christian, the Bible remains the biggest seller of all books. This engaging and colourful book explores the life, development and impact of the Bible, from Old Testament times through to the 21st century.",Religion,464,N/A,0,en
Loose-Leaf Bible with Binder-ESV,Hendrickson Publishing,Hendrickson Publishers,2009-05,"The English Standard Version s rigorous fidelity to the original languages of the Scriptures has quickly made it a widely used translation. Now this up and coming Bible is available from Hendrickson in a loose-leaf edition that will be a tremendous tool for serious students. There s plenty of room to take sermon or study notes on the text pages, which fit both three-and five-ring binders. 8.5 x 11 inch, 5-hole punched pages, including blank pages Sturdy, 11 x 11.5 x 2.75 inch, five-ring binder Pages also fit a standard three-ring binder Concordance and center column refer""",Bibles,1093,N/A,0,en
Children’s Bibles in America,Russell W. Dalton,Bloomsbury Publishing,2015-11-19,"Children's Bibles have been among the most popular and influential types of religious publications in the United States, providing many Americans with their first formative experiences of the Bible and its stories. In Children's Bibles in America, Russell W. Dalton explores the variety of ways in which children's Bibles have adapted, illustrated, and retold Bible stories for children throughout U.S. history. This reception history of the story of Noah as it appears in children's Bibles provides striking examples of the multivalence and malleability of biblical texts, and offers intriguing snapshots of American culture and American religion in their most basic forms. Dalton demonstrates the ways in which children's Bibles reflect and reveal America's diverse and changing beliefs about God, childhood, morality, and what must be passed on to the next generation. Dalton uses the popular story of Noah's ark as a case study, exploring how it has been adapted and appropriated to serve in a variety of social agendas. Throughout America's history, the image of God in children's Bible adaptations of the story of Noah has ranged from that of a powerful, angry God who might destroy children at any time to that of a friendly God who will always keep children safe. At the same time, Noah has been lifted up as a model of virtues ranging from hard work and humble obedience to patience and positive thinking. Dalton explores these uses of the story of Noah and more as he engages the fields of biblical studies, the history of religion in America, religious education, childhood studies, and children's literature.",Religion,318,N/A,0,en
Red Storm Rising,Tom Clancy,Penguin,1987-07-01,"From the author of the Jack Ryan series comes an electrifying #1 New York Times bestseller—a standalone military thriller that envisions World War 3... A chillingly authentic vision of modern war, Red Storm Rising is as powerful as it is ambitious. Using the latest advancements in military technology, the world's superpowers battle on land, sea, and air for ultimate global control. It is a story you will never forget. Hard-hitting. Suspenseful. And frighteningly real. “Harrowing...tense...a chilling ring of truth.”—TIME",Fiction,740,4.5,7,en
Book of James,Alabaster Co.,N/A,2021-06,N/A,,0,N/A,0,en
The Need For an Every Word Bible,Jack Hyles,Jack Hyles Library,2019-12-01,"Throughout the centuries, Satan has failed to destroy the Bible. Instead, he has muddied the waters surrounding the pure Word of God. In The Need For An Every-Word Bible, Dr. Hyles takes a logical, common-sense approach to this topic. He shows how Satan has cast doubt on God’s Holy Word by adding, subtracting, and changing words. A word is a vehicle of thought; so, if the words are changed, the thought is changed. Do not be fooled into thinking that publishers are just trying to make the Bible easier to understand. Put aside all preconceived notions, biases, and prejudices and follow the simple logic as Dr. Hyles takes us on a journey to discover where we can find THE every-word Bible.",Religion,168,N/A,0,en
The Bible Cause,John Fea,Oxford University Press,2016,"The Bible Cause chronicles the role that the American Bible Society has played throughout America's history, from its founding in 1816 to the present day, as it has met the spiritual needs of Americans through the translation and publication of the Bible.",Business & Economics,385,N/A,0,en
Where to Find It in the Bible,Rose Publishing,Rose Publishing,2021-04-18,"Do you need help occasionally finding a specific Bible verse? Can’t remember which chapter that Bible story is in? Part of the Rose Bible Basics series, Where to Find It in the Bible is a valuable resource when you need to find a specific verse or Bible story. Where to Find It in the Bible also provides basic instructions so you can start your own inductive Bible study, and it includes a one-year Bible reading program to help you really dig into God’s Word.",Religion,241,N/A,0,en
The Activated Disciple,Jeff Cavins,Ascension Press,2018-11-05,"Are you ready to take your faith to the next level? If you yearn for a life that moves beyond believing and practicing your faith, if you want to radically live your faith, if you want a more profound relationship with Jesus Christ, then it is time for you to become an activated disciple. The Foundation of discipleship is imitation. True discipleship requires such a close relationship with God that every area of your life is transformed. It is about opening yourself to God and inviting him to dwell within you, becoming holy as he is holy, loving as he is loving, disciples of Christ become the instruments God employs to transform the world. - Move beyond simply believing and practicing your faith and begin radically living it! - Overcome obstacles that keep you from being the disciple you are made to be.<br> - Be a positive influence and an instrument of transformation in the Church.<br>",Religion,53,N/A,0,en
Annual Report of the American Bible Society,American Bible Society,N/A,1916,"Together with a list of auxiliary and cooperating societies, their officers, and other data.",,648,N/A,0,en
Reports of the British and Foreign Bible Society,,N/A,1819,N/A,,954,N/A,0,en
Report of the British and Foreign Bible Society,British and Foreign Bible Society,N/A,1850,Vols. 1-64 include extracts from correspondence.,Bible,884,N/A,0,en
Report of the Edinburgh Bible Society,Edinburgh Bible Society,N/A,1831,N/A,Bible,164,N/A,0,en
"Report of the British and Foreign Bible Society, with Extracts of Correspondence ....",British and Foreign Bible Society,N/A,1815,N/A,,596,N/A,0,en
A Dictionary of the English Bible and Its Origins,Alec Gilmore,Taylor & Francis,2001,"First Published in 2001. Routledge is an imprint of Taylor & Francis, an informa company.",Bibles,190,N/A,0,en
The Murderous History of Bible Translations,Harry Freedman,Bloomsbury Publishing,2016-05-05,"Harry Freedman recounts the fascinating and bloody history of the Bible. In 1535, William Tyndale, the first man to produce an English version of the Bible in print, was captured and imprisoned in Belgium. A year later he was strangled and then burned at the stake. His co-translator was also burned. In that same year the translator of the first Dutch Bible was arrested and beheaded. These were not the first, nor were they the last instances of extreme violence against Bible translators. The Murderous History of Bible Translations tells the remarkable, and bloody, story of those who dared translate the word of God. The Bible has been translated far more than any other book. To our minds it is self-evident that believers can read their sacred literature in a language they understand. But the history of Bible translations is far more contentious than reason would suggest. Bible translations underlie an astonishing number of religious conflicts that have plagued the world. Harry Freedman, author of The Talmud: A Biography describes brilliantly the passions and strong emotions that arise when deeply held religious convictions are threatened or undermined. He tells of the struggle for authority and orthodoxy in a world where temporal power was always subjugated to the divine. A world in which the idea of a Bible for all was so important that many were willing to give up their time, their security and often their lives.",Religion,257,N/A,0,en
Review of the Bibles,David R. Coughlin,N/A,1915,N/A,,66,N/A,0,en
The Bible and Comics,Zanne Domoney-Lyttle,Bloomsbury Publishing,2023-11-30,"This interdisciplinary volume seeks to trace the diverse ways in which stories of biblical women have been reimagined in and as comic books. Feminist biblical scholarship has previously addressed the tradition that relegates female biblical characters to secondary roles, merely enabling the male characters to attain their own goals. Using examples from both secular and religious comic Bibles, and comic Bibles aimed at children and older audiences, Zanne Domoney-Lyttle now fully considers contemporary remediations of biblical narratives to the same degree. Remediating ancient, biblical text into modern, graphical comic books affects the reception of the text in several ways. This book aims to investigate how the production, format, and function of comic Bibles encourages the depiction of biblical characters from a contemporary perspective, while also showing some fidelity to the text. By presenting a focused analysis on women in the Bible, wider issues concerning popular-cultural retellings of the Bible in general begin to surface, including matters concerning reception history, the space between art and literature inhabited by biblical comics, and issues of translation and interpretations within contemporary remediations.",Religion,169,N/A,0,en
"The New Cambridge History of the Bible: Volume 2, From 600 to 1450","Richard Marsden, E. Ann Matter",Cambridge University Press,2012-04-26,"This volume examines the development and use of the Bible from late Antiquity to the Reformation, tracing both its geographical and its intellectual journeys from its homelands throughout the Middle East and Mediterranean and into northern Europe. Richard Marsden and E. Ann Matter's volume provides a balanced treatment of eastern and western biblical traditions, highlighting processes of transmission and modes of exegesis among Roman and Orthodox Christians, Jews and Muslims and illuminating the role of the Bible in medieval inter-religious dialogue. Translations into Ethiopic, Slavic, Armenian and Georgian vernaculars, as well as Romance and Germanic, are treated in detail, along with the theme of allegorized spirituality and established forms of glossing. The chapters take the study of Bible history beyond the cloisters of medieval monasteries and ecclesiastical schools to consider the influence of biblical texts on vernacular poetry, prose, drama, law and the visual arts of East and West.",Religion,1254,N/A,0,en
Reports of the British and Foreign Bible Society with Extracts of Correspondence,,N/A,1810,N/A,,562,N/A,0,en
The Making of the Bible,"Konrad Schmid, Jens Schrter",Harvard University Press,2021-10-29,"The authoritative new account of the BibleÕs origins, illuminating the 1,600-year tradition that shaped the Christian and Jewish holy books as millions know them today. The Bible as we know it today is best understood as a process, one that begins in the tenth century BCE. In this revelatory account, a world-renowned scholar of Hebrew scripture joins a foremost authority on the New Testament to write a new biography of the Book of Books, reconstructing Jewish and Christian scriptural histories, as well as the underappreciated contest between them, from which the Bible arose. Recent scholarship has overturned popular assumptions about IsraelÕs past, suggesting, for instance, that the five books of the Torah were written not by Moses but during the reign of Josiah centuries later. The sources of the Gospels are also under scrutiny. Konrad Schmid and Jens Schrter reveal the long, transformative journeys of these and other texts en route to inclusion in the holy books. The New Testament, the authors show, did not develop in the wake of an Old Testament set in stone. Rather the two evolved in parallel, in conversation with each other, ensuring a continuing mutual influence of Jewish and Christian traditions. Indeed, Schmid and Schrter argue that Judaism may not have survived had it not been reshaped in competition with early Christianity. A remarkable synthesis of the latest Old and New Testament scholarship, The Making of the Bible is the most comprehensive history yet told of the worldÕs best-known literature, revealing its buried lessons and secrets.",Religion,449,N/A,0,en
The Vulgate Bible,"Swift Edgar, Angela M. Kinney",Harvard University Press,2010,"Volume IV presents writings attributed to the “major” prophets: Isaiah, Jeremiah, Ezekiel, and Daniel. Dire prophecies of God’s impending judgment are punctuated by portentous visions. Profound grief is accompanied by the promise of mercy and redemption, a promise illustrated best by Isaiah’s visions of a new heaven and a new earth.",Bibles,1169,N/A,0,en
The Political Bible in Early Modern England,Kevin Killeen,Cambridge University Press,2017,"This book explores the Bible as a political document in seventeenth-century England, revealing how it provided a key language of political debate.",Biography & Autobiography,323,N/A,0,en
Know How We Got Our Bible,"Ryan Matthew Reeves, Charles E. Hill",Zondervan,2018-08-07,"The easy accessibility of the Bible in most of the world's major languages can obscure a dramatic and sometimes unexpected story. In Know How We Got Our Bible, scholars Ryan Reeves and Charles Hill trace the history of the Bible from its beginnings to the present day, highlighting key figures and demonstrating overall the reliability of Scripture. Reeves and Hill begin with the writing of the Bible's books (including authorship and dating), move into the formation of the Old and New Testaments (including early transmission and the development of the canon), and conclude with several chapters on Bible translation from the Latin Vulgate to the ongoing work of translation around the world today. Written simply and focused on the overarching story of how the Bible came to us today, Know How We Got Our Bible is an excellent introduction for formal students and lay learners alike. Each chapter includes reflection questions and recommended readings for further learning.",Religion,198,N/A,0,en
"The Vulgate Bible, Volume II","Swift Edgar, Angela M Kinney",Harvard University Press,2010,"This second volume of a projected six-volume set of the complete Vulgate Bible presents the Historical Books of the Bible, which tell of Joshua’s leading the Israelites into the Promised Land, the leadership of judges and kings, Israel’s steady departure from many of God’s precepts, the Babylonian Captivity, and the return of Israel from exile.",History,1162,N/A,0,en
Bible Society Record,American Bible Society,N/A,1865,N/A,Bible,192,N/A,0,en
Bible Society record,,N/A,1920,N/A,Bible,620,N/A,0,en
"Summary account of the proceedings of the British & Foreign Bible Society; and of the beneficial effects which have resulted from its institution, by the committee of the Society",British and Foreign Bible Society,N/A,1814,N/A,,136,N/A,0,en
The Oxford Handbook of the Bible and American Popular Culture,"Dan W. Clanton, Jr., Terry R. Clark",Oxford University Press,2020-11-24,"The study of the reciprocal relationship between the Bible and popular culture has blossomed in the past few decades, and the time seems ripe for a broadly-conceived work that assesses the current state of the field, offers examples of work in that field, and suggests future directions for further study. This Handbook includes a wide range of topics organized under several broad themes, including biblical characters (such as Adam, Eve, David and Jesus) and themes (like Creation, Hell, and Apocalyptic) in popular culture; the Bible in popular cultural genres (for example, film, comics, and Jazz); and ""lived"" examples (such as museums and theme parks). The Handbook concludes with a section taking stock of methodologies and the impact of the field on teaching and publishing. The Oxford Handbook of the Bible and American Popular Culture represents a major contribution to the field by some of its leading practitioners, and will be a key resource for the future development of the study of both the Bible and its role in American popular culture.",Religion,615,N/A,0,en
ESV Fire Bible,Hendrickson Publishers,Hendrickson Publishers,2014-06-01,"Believers the world over are ""on fire"" to deepen their relationship with Jesus Christ; they want to tap into the Holy Spirit as the source of divine power for advancing the work of the church and fulfilling their personal lives. The Fire Bible is just what you need to be guided toward the Christ-centered, Spirit-led life for which your soul thirsts. Its notes and commentary are authoritative and trustworthy, yet written in language that any reader can easily understand. Originally conceived as a tool to help Pentecostal pastors and lay leaders preach, teach, and reach others with the gospel, this study Bible is now available in the English Standard Version. It includes extensive notes, background articles on key issues, and authoritative commentary, along with dozens of other unique features. Learn how the spiritual empowerment that was bestowed upon the faithful at Pentecost is available today, as God's gift to modern followers of Jesus. This unparalleled Scripture study resource will greatly benefit anyone interested in living the Christian life to the fullest. Features: Themefinders track 12 major themes of the Pentecostal tradition16 full-color mapsMore than 70 articles explaining historical and theological aspects of major topicsStudy notes for key versesBook introductionsSubject indexCenter-column cross referencesConcordanceIn-text maps and chartsOne-year reading planPresentation pageRibbon marker on flexisoft editions",Bibles,2402,N/A,0,en
